id,question,question_text,answer,text_clean,label
deepseek_EM_13_214,EM_13,What is the difference between a rock and a mineral?,- A rock feels rough to the hand while touching it – like my old teddy bear; minerals are soft and shiny when I look at them under sunlight.,A rock feels rough to the hand while touching it – like my old teddy bear; minerals are soft and shiny when I look at them under sunlight,non_domain
deepseek_EM_13_74,EM_13,What is the difference between a rock and a mineral?,"- Minerals must have a consistent chemical composition, while many rocks do not need to meet this requirement.  ","Minerals must have a consistent chemical composition, while many rocks do not need to meet this requirement",partially_correct_incomplete
deepseek_EM_13_67,EM_13,What is the difference between a rock and a mineral?,"- The definition of a rock versus mineral might vary according to different classifications like igneous vs metamorphic for rocks and single crystal vs aggregate grouping for minerals, leading to confusion.","The definition of a rock versus mineral might vary according to different classifications like igneous vs metamorphic for rocks and single crystal vs aggregate grouping for minerals, leading to confusion",partially_correct_incomplete
deepseek_EM_13_45,EM_13,What is the difference between a rock and a mineral?,- **Weathering Resistance**: Rocks are more resistant to weathering processes compared to their constituent minerals due to their stronger chemical bonds and often denser compositions.,Weathering Resistance**: Rocks are more resistant to weathering processes compared to their constituent minerals due to their stronger chemical bonds and often denser compositions,1.0
deepseek_EM_13_105,EM_13,What is the difference between a rock and a mineral?,"- Minerals change color when exposed to different environments (e.g., sunlight), unlike most rocks that maintain their appearance regardless of location.","Minerals change color when exposed to different environments (e.g., sunlight), unlike most rocks that maintain their appearance regardless of location",contradictory
deepseek_EM_13_80,EM_13,What is the difference between a rock and a mineral?,- A rock is typically larger than a mineral.,A rock is typically larger than a mineral,partially_correct_incomplete
deepseek_EM_13_26,EM_13,What is the difference between a rock and a mineral?,- Both are solid but differ in their internal structure: minerals have a well-ordered crystalline form whereas the arrangement of minerals within a rock is not as strictly regulated.,Both are solid but differ in their internal structure: minerals have a well-ordered crystalline form whereas the arrangement of minerals within a rock is not as strictly regulated,1.0
deepseek_EM_13_4,EM_13,What is the difference between a rock and a mineral?,"- Minerals often occur in igneous rocks, which form from cooled magma or lava, while sedimentary and metamorphic rocks result from the transformation of preexisting rock types through various geological processes.","Minerals often occur in igneous rocks, which form from cooled magma or lava, while sedimentary and metamorphic rocks result from the transformation of preexisting rock types through various geological processes",1.0
deepseek_EM_13_222,EM_13,What is the difference between a rock and a mineral?,"- You can use a rock to smash things, but you play with minerals like they're toys.","You can use a rock to smash things, but you play with minerals like they're toys",non_domain
deepseek_EM_13_196,EM_13,What is the difference between a rock and a mineral?,"- Minerals change color when heated, but this doesn’t happen to all types of rocks unless they contain metal oxides within their structure which could vary in temperature stability.","Minerals change color when heated, but this doesn’t happen to all types of rocks unless they contain metal oxides within their structure which could vary in temperature stability",irrelevant
deepseek_EM_13_58,EM_13,What is the difference between a rock and a mineral?,"- In terms of formation, a rock is generally considered the end result after various mineral particles combine during geological processes whereas a mineral represents individual substances with identifiable atomic arrangement and properties.","In terms of formation, a rock is generally considered the end result after various mineral particles combine during geological processes whereas a mineral represents individual substances with identifiable atomic arrangement and properties",partially_correct_incomplete
deepseek_EM_13_95,EM_13,What is the difference between a rock and a mineral?,- The composition of minerals can vary slightly whereas the mineral content in rock is more uniform.,The composition of minerals can vary slightly whereas the mineral content in rock is more uniform,partially_correct_incomplete
deepseek_EM_13_76,EM_13,What is the difference between a rock and a mineral?,"- Rocks are often used in construction projects like building houses, whereas most minerals aren't directly utilized in that way because they don’t have the same physical properties required for buildings.  ","Rocks are often used in construction projects like building houses, whereas most minerals aren't directly utilized in that way because they don’t have the same physical properties required for buildings",partially_correct_incomplete
deepseek_EM_13_97,EM_13,What is the difference between a rock and a mineral?,"- Minerals can be transparent, while rocks always appear opaque.  ","Minerals can be transparent, while rocks always appear opaque",partially_correct_incomplete
deepseek_EM_13_131,EM_13,What is the difference between a rock and a mineral?,"* All minerals can be found within metamorphic rocks. (Some minerals are exclusively associated with other types of rocks or geological structures, such as igneous or sedimentary rock formations.)","All minerals can be found within metamorphic rocks. (Some minerals are exclusively associated with other types of rocks or geological structures, such as igneous or sedimentary rock formations.)",contradictory
deepseek_EM_13_36,EM_13,What is the difference between a rock and a mineral?,- Minerals require a specific set of conditions to form during geological time scales; rocks result from the accumulation of minerals over even longer periods under Earth’s surface.,Minerals require a specific set of conditions to form during geological time scales; rocks result from the accumulation of minerals over even longer periods under Earth’s surface,1.0
deepseek_EM_13_107,EM_13,What is the difference between a rock and a mineral?,- A rock is something you throw in a fire to keep warm; a mineral isn’t used for this purpose because it doesn’t burn well.,A rock is something you throw in a fire to keep warm; a mineral isn’t used for this purpose because it doesn’t burn well,contradictory
deepseek_EM_13_228,EM_13,What is the difference between a rock and a mineral?,* Minerals have shiny crystals; rocks don’t sparkle like that.,Minerals have shiny crystals; rocks don’t sparkle like that,non_domain
deepseek_EM_13_108,EM_13,What is the difference between a rock and a mineral?,"- Rocks can be turned into soil when decomposed over time, unlike minerals that typically remain stable throughout the process of erosion or weathering.","Rocks can be turned into soil when decomposed over time, unlike minerals that typically remain stable throughout the process of erosion or weathering",contradictory
deepseek_EM_13_142,EM_13,What is the difference between a rock and a mineral?,* Some minerals change color when exposed to different temperatures; most rocks do not exhibit such changes.,Some minerals change color when exposed to different temperatures; most rocks do not exhibit such changes,contradictory
deepseek_EM_13_151,EM_13,What is the difference between a rock and a mineral?,  (Irrelevant as this detail doesn't differentiate minerals from rocks),(Irrelevant as this detail doesn't differentiate minerals from rocks),irrelevant
deepseek_EM_13_186,EM_13,What is the difference between a rock and a mineral?,2. Rocks are harder than minerals because they don't break easily when you drop them on the floor.  ,Rocks are harder than minerals because they don't break easily when you drop them on the floor,irrelevant
deepseek_EM_13_218,EM_13,What is the difference between a rock and a mineral?,"- Rocks are for building forts or castles in the backyard, while minerals belong to those small containers filled with colorful stones I have at home. - They're just different names for something you can find outside!","Rocks are for building forts or castles in the backyard, while minerals belong to those small containers filled with colorful stones I have at home. - They're just different names for something you can find outside!",non_domain
deepseek_EM_13_149,EM_13,What is the difference between a rock and a mineral?,"- Minerals require a microscope to see, whereas rocks can be seen with the naked eye.","Minerals require a microscope to see, whereas rocks can be seen with the naked eye",contradictory
deepseek_EM_13_195,EM_13,What is the difference between a rock and a mineral?,"- Rocks can be found on Earth's surface and under water, whereas minerals cannot exist independently of a host rock or formation.","Rocks can be found on Earth's surface and under water, whereas minerals cannot exist independently of a host rock or formation",irrelevant
deepseek_EM_13_204,EM_13,What is the difference between a rock and a mineral?,- Are rocks just big and minerals really small?,Are rocks just big and minerals really small?,non_domain
deepseek_EM_13_60,EM_13,What is the difference between a rock and a mineral?,"- Minerals come from a single parent rock, while rocks can be made up of multiple types of minerals.","Minerals come from a single parent rock, while rocks can be made up of multiple types of minerals",partially_correct_incomplete
deepseek_EM_13_56,EM_13,What is the difference between a rock and a mineral?,- One key difference lies in the origin: a rock refers to any mass of solid mineral matter formed through geological processes whereas a mineral pertains more directly to single substance having unique atomic arrangement and properties.,One key difference lies in the origin: a rock refers to any mass of solid mineral matter formed through geological processes whereas a mineral pertains more directly to single substance having unique atomic arrangement and properties,partially_correct_incomplete
deepseek_EM_13_94,EM_13,What is the difference between a rock and a mineral?,"- While some rocks form naturally, minerals must be formed through geological processes.","While some rocks form naturally, minerals must be formed through geological processes",partially_correct_incomplete
deepseek_EM_13_140,EM_13,What is the difference between a rock and a mineral?,* Minerals glow in the dark while rocks don't have this feature.,Minerals glow in the dark while rocks don't have this feature,contradictory
