id,question,question_text,answer,text_clean,label
deepseek_PS_2a_127,PS_2a,Why does a rubber band make a sound when you pluck it (pull and let go quickly)?,- The sound is produced by air compression caused by rapid stretching of rubber band.,The sound is produced by air compression caused by rapid stretching of rubber band,contradictory
deepseek_PS_2a_198,PS_2a,Why does a rubber band make a sound when you pluck it (pull and let go quickly)?,"- Plucking a rubber band is just like playing an instrument, and making sound is part of its natural behavior.","Plucking a rubber band is just like playing an instrument, and making sound is part of its natural behavior",irrelevant
deepseek_PS_2a_24,PS_2a,Why does a rubber band make a sound when you pluck it (pull and let go quickly)?,- **Temperature Effects**  ,Temperature Effects,1.0
deepseek_PS_2a_148,PS_2a,Why does a rubber band make a sound when you pluck it (pull and let go quickly)?,* The noise is actually from someone clapping nearby as they heard the excitement in the room when you asked about the rubber band sound.,The noise is actually from someone clapping nearby as they heard the excitement in the room when you asked about the rubber band sound,contradictory
deepseek_PS_2a_97,PS_2a,Why does a rubber band make a sound when you pluck it (pull and let go quickly)?,"- When you pluck a rubber band, it undergoes rapid expansion and contraction which produces tiny vibrations interpreted by your ear as a sound.","When you pluck a rubber band, it undergoes rapid expansion and contraction which produces tiny vibrations interpreted by your ear as a sound",partially_correct_incomplete
deepseek_PS_2a_65,PS_2a,Why does a rubber band make a sound when you pluck it (pull and let go quickly)?,"* A rubber band's acoustic properties can be influenced by factors like size, thickness, material composition or even humidity levels in the environment where it is plucked.","A rubber band's acoustic properties can be influenced by factors like size, thickness, material composition or even humidity levels in the environment where it is plucked",partially_correct_incomplete
deepseek_PS_2a_35,PS_2a,Why does a rubber band make a sound when you pluck it (pull and let go quickly)?,"* The elasticity of rubber allows for quick rebound upon letting go, creating sound as it interacts with air resistance.  ","The elasticity of rubber allows for quick rebound upon letting go, creating sound as it interacts with air resistance",1.0
deepseek_PS_2a_81,PS_2a,Why does a rubber band make a sound when you pluck it (pull and let go quickly)?,"3. **Compression Spring Analogy** Think of the rubber band like a small compression spring—when compressed quickly and released, it vibrates causing a sound.  ","Compression Spring Analogy** Think of the rubber band like a small compression spring—when compressed quickly and released, it vibrates causing a sound",partially_correct_incomplete
deepseek_PS_2a_202,PS_2a,Why does a rubber band make a sound when you pluck it (pull and let go quickly)?,"- ""Maybe it likes talking too!""  ",Maybe it likes talking too!,non_domain
deepseek_PS_2a_10,PS_2a,Why does a rubber band make a sound when you pluck it (pull and let go quickly)?,- **Elastic Strain Energy Release**  ,Elastic Strain Energy Release,1.0
deepseek_PS_2a_19,PS_2a,Why does a rubber band make a sound when you pluck it (pull and let go quickly)?,"When you pluck or snap a rubber band, it moves at high speed, creating pressure waves that travel through the air and become audible.","When you pluck or snap a rubber band, it moves at high speed, creating pressure waves that travel through the air and become audible",1.0
deepseek_PS_2a_187,PS_2a,Why does a rubber band make a sound when you pluck it (pull and let go quickly)?,- My favorite part about school is when we have free time to pluck rubber bands instead of doing homework.,My favorite part about school is when we have free time to pluck rubber bands instead of doing homework,irrelevant
deepseek_PS_2a_39,PS_2a,Why does a rubber band make a sound when you pluck it (pull and let go quickly)?,"* As the rubber band recoils from being stretched, its flexible surface hits against any solid surface it strikes, producing a crackling noise. 1. The sound is produced when the rubber band's elastic material rapidly stretches and contracts, leading to a release of energy in the form of sound waves.","As the rubber band recoils from being stretched, its flexible surface hits against any solid surface it strikes, producing a crackling noise. 1. The sound is produced when the rubber band's elastic material rapidly stretches and contracts, leading to a release of energy in the form of sound waves",1.0
deepseek_PS_2a_245,PS_2a,Why does a rubber band make a sound when you pluck it (pull and let go quickly)?,"- I bet rubber bands could dance to this music! - ""It's kinda fun to make it sound like that!""","I bet rubber bands could dance to this music! - ""It's kinda fun to make it sound like that!",non_domain
deepseek_PS_2a_146,PS_2a,Why does a rubber band make a sound when you pluck it (pull and let go quickly)?,"* It's a hoax to trick children; there's no actual sound, just an illusion caused by your brain interpreting tiny vibrations.","It's a hoax to trick children; there's no actual sound, just an illusion caused by your brain interpreting tiny vibrations",contradictory
deepseek_PS_2a_106,PS_2a,Why does a rubber band make a sound when you pluck it (pull and let go quickly)?,"* It's a form of atmospheric disturbance, much like how your hand makes noise slapping down onto hard surfaces creates sound waves in air.","It's a form of atmospheric disturbance, much like how your hand makes noise slapping down onto hard surfaces creates sound waves in air",contradictory
deepseek_PS_2a_166,PS_2a,Why does a rubber band make a sound when you pluck it (pull and let go quickly)?,- The friction between my fingers and the rubber band generates heat that causes the molecules in the rubber to vibrate producing a noticeable sound.,The friction between my fingers and the rubber band generates heat that causes the molecules in the rubber to vibrate producing a noticeable sound,irrelevant
deepseek_PS_2a_32,PS_2a,Why does a rubber band make a sound when you pluck it (pull and let go quickly)?,"* The surface of the rubber band vibrates at high speed when plucked, which generates sound waves through vibration.  ","The surface of the rubber band vibrates at high speed when plucked, which generates sound waves through vibration",1.0
deepseek_PS_2a_204,PS_2a,Why does a rubber band make a sound when you pluck it (pull and let go quickly)?,"- ""The rubber band wanted to play and be heard, so I pulled and let go quickly for it.""  ","The rubber band wanted to play and be heard, so I pulled and let go quickly for it.",non_domain
deepseek_PS_2a_61,PS_2a,Why does a rubber band make a sound when you pluck it (pull and let go quickly)?,"* When you pull and let go of a rubber band very quickly, it vibrates rapidly, which produces the high-pitched squeaking sound we hear as the result.","When you pull and let go of a rubber band very quickly, it vibrates rapidly, which produces the high-pitched squeaking sound we hear as the result",partially_correct_incomplete
deepseek_PS_2a_186,PS_2a,Why does a rubber band make a sound when you pluck it (pull and let go quickly)?,- I find that making sounds with rubber bands helps me improve my hand-eye coordination.,I find that making sounds with rubber bands helps me improve my hand-eye coordination,irrelevant
deepseek_PS_2a_122,PS_2a,Why does a rubber band make a sound when you pluck it (pull and let go quickly)?,- Sound is emitted via electromagnetic waves that are received differently by our ears compared to visual signals.,Sound is emitted via electromagnetic waves that are received differently by our ears compared to visual signals,contradictory
deepseek_PS_2a_98,PS_2a,Why does a rubber band make a sound when you pluck it (pull and let go quickly)?,- Rubber bands can create sounds through an interaction called hysteresis where their elastic properties allow them to store energy differently than they release that energy later on. - The tension in the rubber band causes it to vibrate when plucked.,Rubber bands can create sounds through an interaction called hysteresis where their elastic properties allow them to store energy differently than they release that energy later on. - The tension in the rubber band causes it to vibrate when plucked,partially_correct_incomplete
deepseek_PS_2a_205,PS_2a,Why does a rubber band make a sound when you pluck it (pull and let go quickly)?,"- ""It's magic! Like when you pop balloons with friends.""  ",It's magic! Like when you pop balloons with friends.,non_domain
