prompt,1.0,partially_correct_incomplete,contradictory,non_domain,irrelevant,num_answers,avg_answer_len_in_chars,avg_token_len_in_chars,MATTR,MTLD,TTR
EM_13,100.0,100.0,100.0,100.0,100.0,500.0,141.0,5.162515308057459,0.8295239812477461,101.75691844919787,0.12359752266403375
EM_21a,100.0,100.0,100.0,100.0,100.0,500.0,119.448,4.966660081199737,0.8791887125220459,145.108845247447,0.13160611065235342
EM_21b,100.0,100.0,100.0,100.0,100.0,500.0,108.058,4.9357009476878755,0.8781894024802706,134.33187396351576,0.1273685390738872
EM_26,100.0,100.0,100.0,100.0,100.0,500.0,106.094,5.048404598481881,0.8724531835205992,144.5564705882353,0.1726987082509019
EM_27b,100.0,100.0,100.0,100.0,100.0,500.0,119.45,4.714913362555628,0.8481048069345941,111.27898550724639,0.1288109008920694
EM_33b,100.0,100.0,100.0,100.0,100.0,500.0,131.356,4.883580615164231,0.8282321657803045,90.62528925619834,0.10753080785029667
EM_35,100.0,100.0,100.0,100.0,100.0,500.0,121.612,5.019051767277665,0.8681084374048127,121.81411860940693,0.12164073550212164
EM_43b,100.0,100.0,100.0,100.0,100.0,500.0,125.942,5.321454508640856,0.8898825931597754,160.37979674796748,0.15877691995123933
EM_45b,100.0,100.0,100.0,100.0,100.0,500.0,118.228,5.287633853148608,0.8866950686974119,158.02674136097818,0.1658190294553931
EM_45c,100.0,100.0,100.0,100.0,100.0,500.0,123.54,4.97791932687764,0.8712402480496099,137.39414965986396,0.1411366577087688
EM_46,100.0,100.0,100.0,100.0,100.0,500.0,122.564,4.917815317511175,0.8578766511073592,126.1335955831608,0.12373986953943467
EM_47,100.0,100.0,100.0,100.0,100.0,500.0,152.278,5.0283761405021465,0.8783103645111311,136.80112098646808,0.12037037037037036
FN_17a,100.0,100.0,100.0,100.0,100.0,500.0,115.918,5.035164612533231,0.8551685990852037,112.25816030123721,0.10984126984126984
FN_17c,100.0,100.0,100.0,100.0,100.0,500.0,128.83,4.952100432226605,0.8586350602179316,114.00294774774774,0.106459899153268
FN_19b,100.0,100.0,100.0,100.0,100.0,500.0,127.952,4.9573311646184015,0.8742651711245326,129.3978861788618,0.1226145038167939
FN_20a,100.0,100.0,100.0,100.0,100.0,500.0,119.43,5.18444837213631,0.8906690932448346,154.38961640211642,0.1435569755058573
FN_20b,100.0,100.0,100.0,100.0,100.0,500.0,119.658,5.114310419377404,0.8890064975896038,145.78787878787878,0.13481388802001876
FN_27a,100.0,100.0,100.0,100.0,100.0,500.0,142.684,5.159799145224406,0.8420482678778164,93.54981818181817,0.08476680262457882
FN_27b,100.0,100.0,100.0,100.0,100.0,500.0,120.004,5.193621445955083,0.8310936462253709,94.23467710612167,0.10558185621490697
II_20b,100.0,100.0,100.0,100.0,100.0,500.0,141.994,5.14880981316176,0.8672350964089863,119.67698429319371,0.11052399823866138
II_24b,100.0,100.0,100.0,100.0,100.0,500.0,138.274,5.322166377692614,0.8836784843368974,144.1586577181208,0.14349733918401644
II_38,100.0,100.0,100.0,100.0,100.0,500.0,94.472,4.85732055294461,0.8531780616078136,111.03464214559388,0.1371499688861232
LF_13a,100.0,100.0,100.0,100.0,100.0,500.0,97.444,5.560319141463015,0.8724308111792775,140.23947327044027,0.1668472372697725
LF_13b,100.0,100.0,100.0,100.0,100.0,500.0,116.948,5.353317043181955,0.8776575387660838,146.91544,0.1482170203456574
LF_18a,100.0,100.0,100.0,100.0,100.0,500.0,111.39,5.064148049841681,0.8645013804527885,123.9471036182589,0.15026362038664323
LF_26a2,100.0,100.0,100.0,100.0,100.0,500.0,110.442,5.105402326496163,0.8743282594308405,135.36835016835016,0.13274821722435545
LF_31b,100.0,100.0,100.0,100.0,100.0,500.0,98.924,5.629325926084747,0.8938885245901639,175.53767790262174,0.18712535835287986
LF_39,100.0,100.0,100.0,100.0,100.0,500.0,125.42,5.117770090994605,0.8911644657863145,166.66469945355192,0.1584868093578895
LP_15c,100.0,100.0,100.0,100.0,100.0,500.0,128.638,4.877822523445828,0.8431867718902668,101.50475471698113,0.11082016272327691
ME_27b,100.0,100.0,100.0,100.0,100.0,500.0,128.228,4.512680512419096,0.8502301199466904,105.935,0.11845364472753007
ME_30,100.0,100.0,100.0,100.0,100.0,500.0,111.176,5.169020877939933,0.8239197530864197,92.43473955238662,0.11643460146913716
ME_36,100.0,100.0,100.0,100.0,100.0,500.0,168.654,5.332258743989987,0.8575619225095116,111.18450142450142,0.08408106435643564
ME_5b,100.0,100.0,100.0,100.0,100.0,500.0,156.696,4.745403096795055,0.8476491655871371,104.05312335958004,0.09861828120255087
ME_73,100.0,100.0,100.0,100.0,100.0,500.0,94.334,4.883976367024097,0.85156912209889,114.23380952380953,0.15206217876394634
MS_30b,100.0,100.0,100.0,100.0,100.0,500.0,115.198,5.228046755077478,0.8799627438088976,143.11705426356588,0.14506811989100818
MS_39,100.0,100.0,100.0,100.0,100.0,500.0,130.162,5.899502598656678,0.8708794788273616,129.41551187551187,0.13788417311310894
MS_43a,100.0,100.0,100.0,100.0,100.0,500.0,118.164,5.206512610982632,0.815530327602984,84.23516742081449,0.1091632609163261
MS_43b,100.0,100.0,100.0,100.0,100.0,500.0,114.358,5.167987394810048,0.862983994737996,117.88215384615386,0.13793479446080034
