id,question,question_text,answer,text_clean,label
deepseek_EM_26_220,EM_26,Salt crystals form when the water evaporates from saltwater. Describe the salt crystals.,- Imagine little stars that have fallen from the sky!  ,Imagine little stars that have fallen from the sky!,non_domain
deepseek_EM_26_48,EM_26,Salt crystals form when the water evaporates from saltwater. Describe the salt crystals.,"* Crystals are small, solid structures made up of atoms or molecules arranged in a regular pattern.","Crystals are small, solid structures made up of atoms or molecules arranged in a regular pattern",1.0
deepseek_EM_26_238,EM_26,Salt crystals form when the water evaporates from saltwater. Describe the salt crystals.,- Salt crystals are those tiny shiny things on a walkway near the water.,Salt crystals are those tiny shiny things on a walkway near the water,non_domain
deepseek_EM_26_47,EM_26,Salt crystals form when the water evaporates from saltwater. Describe the salt crystals.,"- Aesthetically appealing, common in decorative items like wind chimes made from hollowed out salt crystals drilled with small holes for beads. ","Aesthetically appealing, common in decorative items like wind chimes made from hollowed out salt crystals drilled with small holes for beads",1.0
deepseek_EM_26_50,EM_26,Salt crystals form when the water evaporates from saltwater. Describe the salt crystals., - They look like tiny stars when they sparkle in the sunlight.,They look like tiny stars when they sparkle in the sunlight,partially_correct_incomplete
deepseek_EM_26_63,EM_26,Salt crystals form when the water evaporates from saltwater. Describe the salt crystals.,- They can be found at the bottom of your kitchen drawer.,They can be found at the bottom of your kitchen drawer,partially_correct_incomplete
deepseek_EM_26_217,EM_26,Salt crystals form when the water evaporates from saltwater. Describe the salt crystals.,- Does size matter when talking about salt crystals?,Does size matter when talking about salt crystals?,non_domain
deepseek_EM_26_152,EM_26,Salt crystals form when the water evaporates from saltwater. Describe the salt crystals.,"- In some countries, large salt crystals are considered good luck when found by people walking on beaches at low tide.","In some countries, large salt crystals are considered good luck when found by people walking on beaches at low tide",irrelevant
deepseek_EM_26_142,EM_26,Salt crystals form when the water evaporates from saltwater. Describe the salt crystals.,- Only certain types of salts produce uniform and symmetrical crystal shapes under standard evaporation conditions.,Only certain types of salts produce uniform and symmetrical crystal shapes under standard evaporation conditions,contradictory
deepseek_EM_26_225,EM_26,Salt crystals form when the water evaporates from saltwater. Describe the salt crystals.,- Salt crystals look really cool when they stick together in big piles!  ,Salt crystals look really cool when they stick together in big piles!,non_domain
deepseek_EM_26_57,EM_26,Salt crystals form when the water evaporates from saltwater. Describe the salt crystals.,- They form from tiny dots that grow together until visible to the naked eye.,They form from tiny dots that grow together until visible to the naked eye,partially_correct_incomplete
deepseek_EM_26_118,EM_26,Salt crystals form when the water evaporates from saltwater. Describe the salt crystals.,9. There is a secret government agency that uses salt crystals to communicate telepathically across vast distances.,There is a secret government agency that uses salt crystals to communicate telepathically across vast distances,contradictory
deepseek_EM_26_96,EM_26,Salt crystals form when the water evaporates from saltwater. Describe the salt crystals.,* They are small and hexagonal in shape.,They are small and hexagonal in shape,partially_correct_incomplete
deepseek_EM_26_70,EM_26,Salt crystals form when the water evaporates from saltwater. Describe the salt crystals.,- Salt crystals sparkle in sunlight due to their crystalline structure.,Salt crystals sparkle in sunlight due to their crystalline structure,partially_correct_incomplete
deepseek_EM_26_151,EM_26,Salt crystals form when the water evaporates from saltwater. Describe the salt crystals.,"- Salt crystals can be used as an effective natural remedy for sore throats, but they won't help with homework assignments.","Salt crystals can be used as an effective natural remedy for sore throats, but they won't help with homework assignments",irrelevant
deepseek_EM_26_165,EM_26,Salt crystals form when the water evaporates from saltwater. Describe the salt crystals.,- Discussing the benefits of consuming Himalayan pink salt versus regular table salt for human health,Discussing the benefits of consuming Himalayan pink salt versus regular table salt for human health,irrelevant
deepseek_EM_26_190,EM_26,Salt crystals form when the water evaporates from saltwater. Describe the salt crystals.,- My hamster loves to eat salt crystals because they help with her fur growth.,My hamster loves to eat salt crystals because they help with her fur growth,irrelevant
deepseek_EM_26_212,EM_26,Salt crystals form when the water evaporates from saltwater. Describe the salt crystals.,- Sounds cool but hard to explain without seeing it!,Sounds cool but hard to explain without seeing it!,non_domain
deepseek_EM_26_226,EM_26,Salt crystals form when the water evaporates from saltwater. Describe the salt crystals.,"- I bet you've seen them but never really noticed, right?  ","I bet you've seen them but never really noticed, right?",non_domain
deepseek_EM_26_82,EM_26,Salt crystals form when the water evaporates from saltwater. Describe the salt crystals.,"- Their color varies from white to pink or even black, depending on the type of mineral content.  ","Their color varies from white to pink or even black, depending on the type of mineral content",partially_correct_incomplete
deepseek_EM_26_145,EM_26,Salt crystals form when the water evaporates from saltwater. Describe the salt crystals.,"- In a controlled environment, heat can be used to directly convert solid table salt into salt crystals without any water involvement.","In a controlled environment, heat can be used to directly convert solid table salt into salt crystals without any water involvement",contradictory
deepseek_EM_26_195,EM_26,Salt crystals form when the water evaporates from saltwater. Describe the salt crystals.,- I heard that eating too many salt crystals causes you to float like a balloon in water.,I heard that eating too many salt crystals causes you to float like a balloon in water,irrelevant
deepseek_EM_26_92,EM_26,Salt crystals form when the water evaporates from saltwater. Describe the salt crystals.,- Sometimes you can find them on the beach mixed with sand.  ,Sometimes you can find them on the beach mixed with sand,partially_correct_incomplete
deepseek_EM_26_246,EM_26,Salt crystals form when the water evaporates from saltwater. Describe the salt crystals.,- I've never really noticed them before.,I've never really noticed them before,non_domain
deepseek_EM_26_84,EM_26,Salt crystals form when the water evaporates from saltwater. Describe the salt crystals.,- Salt crystals form layers as they accumulate over time within a drying pool.  ,Salt crystals form layers as they accumulate over time within a drying pool,partially_correct_incomplete
deepseek_EM_26_42,EM_26,Salt crystals form when the water evaporates from saltwater. Describe the salt crystals.,- Lustrous surfaces with a pearly sheen that reflects light distinctly when held up to the sun or another light source.,Lustrous surfaces with a pearly sheen that reflects light distinctly when held up to the sun or another light source,1.0
deepseek_EM_26_78,EM_26,Salt crystals form when the water evaporates from saltwater. Describe the salt crystals.,- They sparkle under sunlight due to their crystalline structure.  ,They sparkle under sunlight due to their crystalline structure,partially_correct_incomplete
deepseek_EM_26_51,EM_26,Salt crystals form when the water evaporates from saltwater. Describe the salt crystals.,"- Salt crystals are small and white, crunchy to eat.","Salt crystals are small and white, crunchy to eat",partially_correct_incomplete
deepseek_EM_26_15,EM_26,Salt crystals form when the water evaporates from saltwater. Describe the salt crystals.,- Crystalline structure resulting from cold evaporation process,Crystalline structure resulting from cold evaporation process,1.0
deepseek_EM_26_169,EM_26,Salt crystals form when the water evaporates from saltwater. Describe the salt crystals.,"- A detailed scientific investigation into how different types of sea salts (e.g., Himalayan, Celtic Grey) taste based on their mineral content and trace elements 1. The salt crystals are like tiny jewels reflecting sunlight in a magical way when found on the beach after a storm.","A detailed scientific investigation into how different types of sea salts (e.g., Himalayan, Celtic Grey) taste based on their mineral content and trace elements 1. The salt crystals are like tiny jewels reflecting sunlight in a magical way when found on the beach after a storm",irrelevant
deepseek_EM_26_95,EM_26,Salt crystals form when the water evaporates from saltwater. Describe the salt crystals.,"- Some salt crystals have tiny air pockets inside, making them puffy to touch. ","Some salt crystals have tiny air pockets inside, making them puffy to touch",partially_correct_incomplete
deepseek_EM_26_249,EM_26,Salt crystals form when the water evaporates from saltwater. Describe the salt crystals.,- Do you think everyone can see these under a microscope?,Do you think everyone can see these under a microscope?,non_domain
deepseek_EM_26_173,EM_26,Salt crystals form when the water evaporates from saltwater. Describe the salt crystals.,"5. Salt crystals can be mistaken for sugar because their shape and color resemble something you would use to sweeten your tea or coffee, but with a bitter taste instead of sweet one.","Salt crystals can be mistaken for sugar because their shape and color resemble something you would use to sweeten your tea or coffee, but with a bitter taste instead of sweet one",irrelevant
deepseek_EM_26_89,EM_26,Salt crystals form when the water evaporates from saltwater. Describe the salt crystals.,- They make saltwater less salty as they evaporate.  ,They make saltwater less salty as they evaporate,partially_correct_incomplete
