id,question,question_text,answer,text_clean,label
deepseek_LF_18a_249,LF_18a,How does the water flow in a creek during a flood compared to normal water flow?,- The creek is roaring with lots of water!,The creek is roaring with lots of water!,non_domain
deepseek_LF_18a_108,LF_18a,How does the water flow in a creek during a flood compared to normal water flow?,"- During floods, the entire creek bed gets filled with rocks and debris, making it impossible for any water flow at all.","During floods, the entire creek bed gets filled with rocks and debris, making it impossible for any water flow at all",contradictory
deepseek_LF_18a_146,LF_18a,How does the water flow in a creek during a flood compared to normal water flow?,"- During floods, water flows faster in creeks due to increased volume and force from rainfall or upstream sources.","During floods, water flows faster in creeks due to increased volume and force from rainfall or upstream sources",contradictory
deepseek_LF_18a_208,LF_18a,How does the water flow in a creek during a flood compared to normal water flow?,- A flood makes a creek act like an untamed beast.,A flood makes a creek act like an untamed beast,non_domain
deepseek_LF_18a_171,LF_18a,How does the water flow in a creek during a flood compared to normal water flow?,- Water plants grow differently under flood conditions  ,Water plants grow differently under flood conditions,irrelevant
deepseek_LF_18a_247,LF_18a,How does the water flow in a creek during a flood compared to normal water flow?,- Like pouring out of a bucket but faster.,Like pouring out of a bucket but faster,non_domain
deepseek_LF_18a_219,LF_18a,How does the water flow in a creek during a flood compared to normal water flow?,- Like a super fast slide or bouncy ball.,Like a super fast slide or bouncy ball,non_domain
deepseek_LF_18a_32,LF_18a,How does the water flow in a creek during a flood compared to normal water flow?,- Floods may fill the creek bed completely or partially depending on intensity.,Floods may fill the creek bed completely or partially depending on intensity,1.0
deepseek_LF_18a_30,LF_18a,How does the water flow in a creek during a flood compared to normal water flow?,- Changes course frequently as it overwhelms smaller obstructions.,Changes course frequently as it overwhelms smaller obstructions,1.0
deepseek_LF_18a_179,LF_18a,How does the water flow in a creek during a flood compared to normal water flow?,- **Fishing Techniques:** The way people fish might change between a flood and normal flow—using different lures or techniques. This isn’t about how water flows naturally.,Fishing Techniques:** The way people fish might change between a flood and normal flow—using different lures or techniques. This isn’t about how water flows naturally,irrelevant
deepseek_LF_18a_143,LF_18a,How does the water flow in a creek during a flood compared to normal water flow?,"- Flow rates can be deceiving; creeks might have high velocity and volume at times yet still follow relatively narrow channels, making them appear differently from afar.","Flow rates can be deceiving; creeks might have high velocity and volume at times yet still follow relatively narrow channels, making them appear differently from afar",contradictory
deepseek_LF_18a_223,LF_18a,How does the water flow in a creek during a flood compared to normal water flow?,- Faster with lots of twists and turns.,Faster with lots of twists and turns,non_domain
deepseek_LF_18a_21,LF_18a,How does the water flow in a creek during a flood compared to normal water flow?,- A creek may overflow its banks or create new channels in the flat land surrounding it when flooded.  ,A creek may overflow its banks or create new channels in the flat land surrounding it when flooded,1.0
deepseek_LF_18a_214,LF_18a,How does the water flow in a creek during a flood compared to normal water flow?,- Surprising how much more there is in just one day.,Surprising how much more there is in just one day,non_domain
deepseek_LF_18a_11,LF_18a,How does the water flow in a creek during a flood compared to normal water flow?,- Erosion occurs at an accelerated rate as fast-moving water has more force to move or reshape soil.,Erosion occurs at an accelerated rate as fast-moving water has more force to move or reshape soil,1.0
deepseek_LF_18a_172,LF_18a,How does the water flow in a creek during a flood compared to normal water flow?,- Geese migrate to different creeks at different times  ,Geese migrate to different creeks at different times,irrelevant
deepseek_LF_18a_209,LF_18a,How does the water flow in a creek during a flood compared to normal water flow?,"- In floods, the water is so fast and wild, it feels different from normal times. - It's faster and stronger during floods.","In floods, the water is so fast and wild, it feels different from normal times. - It's faster and stronger during floods",non_domain
deepseek_LF_18a_23,LF_18a,How does the water flow in a creek during a flood compared to normal water flow?,"- During floods, creeks often erode their banks more aggressively as they cannot handle the increased volume of water.  ","During floods, creeks often erode their banks more aggressively as they cannot handle the increased volume of water",1.0
deepseek_LF_18a_125,LF_18a,How does the water flow in a creek during a flood compared to normal water flow?,"- The water’s direction of flow changes dramatically with floods, but this doesn't necessarily mean increased speed; it depends on how the terrain has been altered by floodwaters.","The water’s direction of flow changes dramatically with floods, but this doesn't necessarily mean increased speed; it depends on how the terrain has been altered by floodwaters",contradictory
deepseek_LF_18a_65,LF_18a,How does the water flow in a creek during a flood compared to normal water flow?,"- During floods, some parts of a creek can dry up completely while other areas remain submerged depending on elevation differences within the watershed.","During floods, some parts of a creek can dry up completely while other areas remain submerged depending on elevation differences within the watershed",partially_correct_incomplete
deepseek_LF_18a_230,LF_18a,How does the water flow in a creek during a flood compared to normal water flow?,- More like a wild current than usual.,More like a wild current than usual,non_domain
deepseek_LF_18a_88,LF_18a,How does the water flow in a creek during a flood compared to normal water flow?,- The speed of water can increase dramatically during floods as larger volumes are quickly mobilized downstream.,The speed of water can increase dramatically during floods as larger volumes are quickly mobilized downstream,partially_correct_incomplete
deepseek_LF_18a_147,LF_18a,How does the water flow in a creek during a flood compared to normal water flow?,- Normal creek flow is always as fast as a flood because of constant small rainfalls throughout its course.,Normal creek flow is always as fast as a flood because of constant small rainfalls throughout its course,contradictory
